      0,29: B1<-C11: target-info([day=1, hour=0, minute=0, total-minute=0, latitude=33.857143, longitude=128.358333, x=9, y=8, x-100=950, y-100=850, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=90, direction=east, cargo=crude oil, country=South Korea, info-type=new-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      0,30: B1<-C11: target-info([day=1, hour=0, minute=0, total-minute=0, latitude=34.085714, longitude=129.525, x=13, y=7, x-100=1350, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=90, direction=east, cargo=refined petroleum, country=Japan, info-type=new-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      1,56: B1<-C11: target-info([day=1, hour=0, minute=15, total-minute=15, latitude=34.085714, longitude=129.525, x=13, y=7, x-100=1350, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=3.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      1,57: B1<-C11: target-info([day=1, hour=0, minute=15, total-minute=15, latitude=33.886857, longitude=128.425417, x=9, y=8, x-100=973, y-100=837, id=Seabreeze, entity-type=oil-tanker, value=10, speed=15.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      2,66: B1<-C11: target-info([day=1, hour=0, minute=30, total-minute=30, latitude=34.085714, longitude=129.5075, x=13, y=7, x-100=1344, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      2,67: B1<-C11: target-info([day=1, hour=0, minute=30, total-minute=30, latitude=33.946286, longitude=128.469167, x=9, y=8, x-100=988, y-100=811, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      3,101: B1<-C11: target-info([day=1, hour=0, minute=45, total-minute=45, latitude=34.005714, longitude=128.512917, x=10, y=7, x-100=1003, y-100=785, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      3,102: B1<-C11: target-info([day=1, hour=0, minute=45, total-minute=45, latitude=34.085714, longitude=129.49, x=13, y=7, x-100=1338, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      4,111: B1<-C11: target-info([day=1, hour=1, minute=0, total-minute=60, latitude=34.085714, longitude=129.4725, x=13, y=7, x-100=1332, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      4,112: B1<-C11: target-info([day=1, hour=1, minute=0, total-minute=60, latitude=34.065143, longitude=128.556667, x=10, y=7, x-100=1018, y-100=759, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      5,121: B1<-C11: target-info([day=1, hour=1, minute=15, total-minute=75, latitude=34.085714, longitude=129.455, x=13, y=7, x-100=1326, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      5,122: B1<-C11: target-info([day=1, hour=1, minute=15, total-minute=75, latitude=34.124571, longitude=128.600417, x=10, y=7, x-100=1033, y-100=733, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      6,131: B1<-C11: target-info([day=1, hour=1, minute=30, total-minute=90, latitude=34.085714, longitude=129.4375, x=13, y=7, x-100=1320, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      6,132: B1<-C11: target-info([day=1, hour=1, minute=30, total-minute=90, latitude=34.184, longitude=128.644167, x=10, y=7, x-100=1048, y-100=707, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
